d_model,n_experts,k,capacity_factor,drop_policy,aux_alpha,int8_comms,batch,seq,ep,experts_per_rank,aux_loss,fwd_ms,dispatch_buf_mb,dispatch_lat_us,drop_rate,assigned_total
512,8,2,0.8,backup,0.0,True,32,64,32,1,0.0,47.11195800337009,0.540672,15.035400390625,0.0,3272
512,8,2,0.8,backup,0.01,False,32,64,8,1,0.010001881048083305,62.482374982209876,0.26624,12.47955322265625,0.0,3272
512,8,2,0.8,backup,0.01,False,32,64,32,1,0.010002972558140755,45.87358399294317,1.06496,19.918212890625,0.0,3272
512,8,2,0.8,backup,0.01,True,32,64,8,1,0.010004048235714436,48.5178749950137,0.135168,11.25885009765625,0.0,3272
512,8,2,0.8,backup,0.01,True,32,64,32,1,0.010000762529671192,49.3028330092784,0.540672,15.035400390625,0.0,3272
512,8,2,1.0,drop,0.0,False,32,64,8,1,0.0,54.08162498497404,0.26624,12.47955322265625,0.020263671875,4013
512,8,2,1.0,drop,0.0,False,32,64,32,1,0.0,53.297874983400106,1.06496,19.918212890625,0.018310546875,4021
512,8,2,1.0,drop,0.0,True,32,64,8,1,0.0,54.18191701755859,0.135168,11.25885009765625,0.015869140625,4031
512,8,2,1.0,drop,0.0,True,32,64,32,1,0.0,69.8582089971751,0.540672,15.035400390625,0.01611328125,4030
512,8,2,1.0,drop,0.01,False,32,64,8,1,0.010002966038882732,55.15279099927284,0.26624,12.47955322265625,0.015625,4032
512,8,2,1.0,drop,0.01,False,32,64,32,1,0.010001763701438904,53.37433298700489,1.06496,19.918212890625,0.0166015625,4028
512,8,2,1.0,drop,0.01,True,32,64,8,1,0.010007437318563461,54.500041995197535,0.135168,11.25885009765625,0.021728515625,4007
512,8,2,1.0,drop,0.01,True,32,64,32,1,0.010004439391195774,53.648750006686896,0.540672,15.035400390625,0.021240234375,4009
512,8,2,1.0,backup,0.0,False,32,64,8,1,0.0,58.277125004678965,0.26624,12.47955322265625,0.0,4043
512,8,2,1.0,backup,0.0,False,32,64,32,1,0.0,53.95462497835979,1.06496,19.918212890625,0.0,4016
512,8,2,1.0,backup,0.0,True,32,64,8,1,0.0,70.33562500146218,0.135168,11.25885009765625,0.0,4047
512,8,2,1.0,backup,0.0,True,32,64,32,1,0.0,52.98954198951833,0.540672,15.035400390625,0.0,4026
512,8,2,1.0,backup,0.01,False,32,64,8,1,0.010003562085330486,54.71108399797231,0.26624,12.47955322265625,0.0,4040
512,8,2,1.0,backup,0.01,False,32,64,32,1,0.010001182556152344,55.13845902169123,1.06496,19.918212890625,0.0,4049
512,8,2,1.0,backup,0.01,True,32,64,8,1,0.010004743002355099,53.881917003309354,0.135168,11.25885009765625,0.0,4024
512,8,2,1.0,backup,0.01,True,32,64,32,1,0.010006322525441647,53.91845799749717,0.540672,15.035400390625,0.0,4001
